row_id,ISIS,linkage_position_1based,between_nt_1based,linkage,is_PS,is_PO,is_unknown_linkage
3,150440,7,7-8,PS,True,False,False
3,150440,8,8-9,PS,True,False,False
3,150440,9,9-10,PS,True,False,False
3,150440,10,10-11,PS,True,False,False
3,150440,11,11-12,PS,True,False,False
3,150440,12,12-13,PS,True,False,False
3,150440,13,13-14,PS,True,False,False
3,150440,14,14-15,PS,True,False,False
3,150440,15,15-16,PS,True,False,False
3,150440,16,16-17,PS,True,False,False
3,150440,17,17-18,PS,True,False,False
3,150440,18,18-19,PS,True,False,False
3,150440,19,19-20,PS,True,False,False
4,150442,1,1-2,PS,True,False,False
4,150442,2,2-3,PS,True,False,False
4,150442,3,3-4,PS,True,False,False
4,150442,4,4-5,PS,True,False,False
4,150442,5,5-6,PS,True,False,False
4,150442,6,6-7,PS,True,False,False
4,150442,7,7-8,PS,True,False,False
4,150442,8,8-9,PS,True,False,False
4,150442,9,9-10,PS,True,False,False
4,150442,10,10-11,PS,True,False,False
4,150442,11,11-12,PS,True,False,False
4,150442,12,12-13,PS,True,False,False
4,150442,13,13-14,PS,True,False,False
4,150442,14,14-15,PS,True,False,False
4,150442,15,15-16,PS,True,False,False
4,150442,16,16-17,PS,True,False,False
4,150442,17,17-18,PS,True,False,False
4,150442,18,18-19,PS,True,False,False
4,150442,19,19-20,PS,True,False,False
5,150447,1,1-2,PS,True,False,False
5,150447,2,2-3,PS,True,False,False
5,150447,3,3-4,PS,True,False,False
5,150447,4,4-5,PS,True,False,False
5,150447,5,5-6,PS,True,False,False
5,150447,6,6-7,PS,True,False,False
5,150447,7,7-8,PS,True,False,False
5,150447,8,8-9,PS,True,False,False
5,150447,9,9-10,PS,True,False,False
5,150447,10,10-11,PS,True,False,False
5,150447,11,11-12,PS,True,False,False
5,150447,12,12-13,PS,True,False,False
5,150447,13,13-14,PS,True,False,False
5,150447,14,14-15,PS,True,False,False
5,150447,15,15-16,PS,True,False,False
5,150447,16,16-17,PS,True,False,False
5,150447,17,17-18,PS,True,False,False
5,150447,18,18-19,PS,True,False,False
5,150447,19,19-20,PS,True,False,False
6,150450,1,1-2,PS,True,False,False
6,150450,2,2-3,PS,True,False,False
6,150450,3,3-4,PS,True,False,False
6,150450,4,4-5,PS,True,False,False
6,150450,5,5-6,PS,True,False,False
6,150450,6,6-7,PS,True,False,False
6,150450,7,7-8,PS,True,False,False
6,150450,8,8-9,PS,True,False,False
6,150450,9,9-10,PS,True,False,False
6,150450,10,10-11,PS,True,False,False
6,150450,11,11-12,PS,True,False,False
6,150450,12,12-13,PS,True,False,False
6,150450,13,13-14,PS,True,False,False
6,150450,14,14-15,PS,True,False,False
6,150450,15,15-16,PS,True,False,False
6,150450,16,16-17,PS,True,False,False
6,150450,17,17-18,PS,True,False,False
6,150450,18,18-19,PS,True,False,False
6,150450,19,19-20,PS,True,False,False
7,150455,1,1-2,PS,True,False,False
7,150455,2,2-3,PS,True,False,False
7,150455,3,3-4,PS,True,False,False
7,150455,4,4-5,PS,True,False,False
7,150455,5,5-6,PS,True,False,False
7,150455,6,6-7,PS,True,False,False
7,150455,7,7-8,PS,True,False,False
7,150455,8,8-9,PS,True,False,False
7,150455,9,9-10,PS,True,False,False
7,150455,10,10-11,PS,True,False,False
7,150455,11,11-12,PS,True,False,False
7,150455,12,12-13,PS,True,False,False
7,150455,13,13-14,PS,True,False,False
7,150455,14,14-15,PS,True,False,False
7,150455,15,15-16,PS,True,False,False
7,150455,16,16-17,PS,True,False,False
7,150455,17,17-18,PS,True,False,False
7,150455,18,18-19,PS,True,False,False
7,150455,19,19-20,PS,True,False,False
8,150456,1,1-2,PS,True,False,False
8,150456,2,2-3,PS,True,False,False
8,150456,3,3-4,PS,True,False,False
8,150456,4,4-5,PS,True,False,False
8,150456,5,5-6,PS,True,False,False
8,150456,6,6-7,PS,True,False,False
8,150456,7,7-8,PS,True,False,False
8,150456,8,8-9,PS,True,False,False
8,150456,9,9-10,PS,True,False,False
8,150456,10,10-11,PS,True,False,False
8,150456,11,11-12,PS,True,False,False
8,150456,12,12-13,PS,True,False,False
8,150456,13,13-14,PS,True,False,False
8,150456,14,14-15,PS,True,False,False
8,150456,15,15-16,PS,True,False,False
8,150456,16,16-17,PS,True,False,False
8,150456,17,17-18,PS,True,False,False
8,150456,18,18-19,PS,True,False,False
8,150456,19,19-20,PS,True,False,False
9,150457,1,1-2,PS,True,False,False
9,150457,2,2-3,PS,True,False,False
9,150457,3,3-4,PS,True,False,False
9,150457,4,4-5,PS,True,False,False
9,150457,5,5-6,PS,True,False,False
9,150457,6,6-7,PS,True,False,False
9,150457,7,7-8,PS,True,False,False
9,150457,8,8-9,PS,True,False,False
9,150457,9,9-10,PS,True,False,False
9,150457,10,10-11,PS,True,False,False
9,150457,11,11-12,PS,True,False,False
9,150457,12,12-13,PS,True,False,False
9,150457,13,13-14,PS,True,False,False
9,150457,14,14-15,PS,True,False,False
9,150457,15,15-16,PS,True,False,False
9,150457,16,16-17,PS,True,False,False
9,150457,17,17-18,PS,True,False,False
9,150457,18,18-19,PS,True,False,False
9,150457,19,19-20,PS,True,False,False
10,150459,1,1-2,PS,True,False,False
10,150459,2,2-3,PS,True,False,False
10,150459,3,3-4,PS,True,False,False
10,150459,4,4-5,PS,True,False,False
10,150459,5,5-6,PS,True,False,False
10,150459,6,6-7,PS,True,False,False
10,150459,7,7-8,PS,True,False,False
10,150459,8,8-9,PS,True,False,False
10,150459,9,9-10,PS,True,False,False
10,150459,10,10-11,PS,True,False,False
10,150459,11,11-12,PS,True,False,False
10,150459,12,12-13,PS,True,False,False
10,150459,13,13-14,PS,True,False,False
10,150459,14,14-15,PS,True,False,False
10,150459,15,15-16,PS,True,False,False
10,150459,16,16-17,PS,True,False,False
10,150459,17,17-18,PS,True,False,False
10,150459,18,18-19,PS,True,False,False
10,150459,19,19-20,PS,True,False,False
11,150461,1,1-2,PS,True,False,False
11,150461,2,2-3,PS,True,False,False
11,150461,3,3-4,PS,True,False,False
11,150461,4,4-5,PS,True,False,False
11,150461,5,5-6,PS,True,False,False
11,150461,6,6-7,PS,True,False,False
11,150461,7,7-8,PS,True,False,False
11,150461,8,8-9,PS,True,False,False
11,150461,9,9-10,PS,True,False,False
11,150461,10,10-11,PS,True,False,False
11,150461,11,11-12,PS,True,False,False
11,150461,12,12-13,PS,True,False,False
11,150461,13,13-14,PS,True,False,False
11,150461,14,14-15,PS,True,False,False
11,150461,15,15-16,PS,True,False,False
11,150461,16,16-17,PS,True,False,False
11,150461,17,17-18,PS,True,False,False
11,150461,18,18-19,PS,True,False,False
11,150461,19,19-20,PS,True,False,False
12,150469,1,1-2,PS,True,False,False
12,150469,2,2-3,PS,True,False,False
12,150469,3,3-4,PS,True,False,False
12,150469,4,4-5,PS,True,False,False
12,150469,5,5-6,PS,True,False,False
12,150469,6,6-7,PS,True,False,False
12,150469,7,7-8,PS,True,False,False
12,150469,8,8-9,PS,True,False,False
12,150469,9,9-10,PS,True,False,False
12,150469,10,10-11,PS,True,False,False
12,150469,11,11-12,PS,True,False,False
12,150469,12,12-13,PS,True,False,False
12,150469,13,13-14,PS,True,False,False
12,150469,14,14-15,PS,True,False,False
12,150469,15,15-16,PS,True,False,False
12,150469,16,16-17,PS,True,False,False
12,150469,17,17-18,PS,True,False,False
12,150469,18,18-19,PS,True,False,False
12,150469,19,19-20,PS,True,False,False
13,150473,1,1-2,PS,True,False,False
13,150473,2,2-3,PS,True,False,False
13,150473,3,3-4,PS,True,False,False
13,150473,4,4-5,PS,True,False,False
13,150473,5,5-6,PS,True,False,False
13,150473,6,6-7,PS,True,False,False
13,150473,7,7-8,PS,True,False,False
13,150473,8,8-9,PS,True,False,False
13,150473,9,9-10,PS,True,False,False
13,150473,10,10-11,PS,True,False,False
13,150473,11,11-12,PS,True,False,False
13,150473,12,12-13,PS,True,False,False
13,150473,13,13-14,PS,True,False,False
13,150473,14,14-15,PS,True,False,False
13,150473,15,15-16,PS,True,False,False
13,150473,16,16-17,PS,True,False,False
13,150473,17,17-18,PS,True,False,False
13,150473,18,18-19,PS,True,False,False
13,150473,19,19-20,PS,True,False,False
14,150478,1,1-2,PS,True,False,False
14,150478,2,2-3,PS,True,False,False
14,150478,3,3-4,PS,True,False,False
14,150478,4,4-5,PS,True,False,False
14,150478,5,5-6,PS,True,False,False
14,150478,6,6-7,PS,True,False,False
14,150478,7,7-8,PS,True,False,False
14,150478,8,8-9,PS,True,False,False
14,150478,9,9-10,PS,True,False,False
14,150478,10,10-11,PS,True,False,False
14,150478,11,11-12,PS,True,False,False
14,150478,12,12-13,PS,True,False,False
14,150478,13,13-14,PS,True,False,False
14,150478,14,14-15,PS,True,False,False
14,150478,15,15-16,PS,True,False,False
14,150478,16,16-17,PS,True,False,False
14,150478,17,17-18,PS,True,False,False
14,150478,18,18-19,PS,True,False,False
14,150478,19,19-20,PS,True,False,False
15,150484,1,1-2,PS,True,False,False
15,150484,2,2-3,PS,True,False,False
15,150484,3,3-4,PS,True,False,False
15,150484,4,4-5,PS,True,False,False
15,150484,5,5-6,PS,True,False,False
15,150484,6,6-7,PS,True,False,False
15,150484,7,7-8,PS,True,False,False
15,150484,8,8-9,PS,True,False,False
15,150484,9,9-10,PS,True,False,False
15,150484,10,10-11,PS,True,False,False
15,150484,11,11-12,PS,True,False,False
15,150484,12,12-13,PS,True,False,False
15,150484,13,13-14,PS,True,False,False
15,150484,14,14-15,PS,True,False,False
15,150484,15,15-16,PS,True,False,False
15,150484,16,16-17,PS,True,False,False
15,150484,17,17-18,PS,True,False,False
15,150484,18,18-19,PS,True,False,False
15,150484,19,19-20,PS,True,False,False
16,150486,1,1-2,PS,True,False,False
16,150486,2,2-3,PS,True,False,False
16,150486,3,3-4,PS,True,False,False
16,150486,4,4-5,PS,True,False,False
16,150486,5,5-6,PS,True,False,False
16,150486,6,6-7,PS,True,False,False
16,150486,7,7-8,PS,True,False,False
16,150486,8,8-9,PS,True,False,False
16,150486,9,9-10,PS,True,False,False
16,150486,10,10-11,PS,True,False,False
16,150486,11,11-12,PS,True,False,False
16,150486,12,12-13,PS,True,False,False
16,150486,13,13-14,PS,True,False,False
16,150486,14,14-15,PS,True,False,False
16,150486,15,15-16,PS,True,False,False
16,150486,16,16-17,PS,True,False,False
16,150486,17,17-18,PS,True,False,False
16,150486,18,18-19,PS,True,False,False
16,150486,19,19-20,PS,True,False,False
17,150494,1,1-2,PS,True,False,False
17,150494,2,2-3,PS,True,False,False
17,150494,3,3-4,PS,True,False,False
17,150494,4,4-5,PS,True,False,False
17,150494,5,5-6,PS,True,False,False
17,150494,6,6-7,PS,True,False,False
17,150494,7,7-8,PS,True,False,False
17,150494,8,8-9,PS,True,False,False
17,150494,9,9-10,PS,True,False,False
17,150494,10,10-11,PS,True,False,False
17,150494,11,11-12,PS,True,False,False
17,150494,12,12-13,PS,True,False,False
17,150494,13,13-14,PS,True,False,False
17,150494,14,14-15,PS,True,False,False
17,150494,15,15-16,PS,True,False,False
17,150494,16,16-17,PS,True,False,False
17,150494,17,17-18,PS,True,False,False
17,150494,18,18-19,PS,True,False,False
17,150494,19,19-20,PS,True,False,False
18,150508,1,1-2,PS,True,False,False
18,150508,2,2-3,PS,True,False,False
18,150508,3,3-4,PS,True,False,False
18,150508,4,4-5,PS,True,False,False
18,150508,5,5-6,PS,True,False,False
18,150508,6,6-7,PS,True,False,False
18,150508,7,7-8,PS,True,False,False
18,150508,8,8-9,PS,True,False,False
18,150508,9,9-10,PS,True,False,False
18,150508,10,10-11,PS,True,False,False
18,150508,11,11-12,PS,True,False,False
18,150508,12,12-13,PS,True,False,False
18,150508,13,13-14,PS,True,False,False
18,150508,14,14-15,PS,True,False,False
18,150508,15,15-16,PS,True,False,False
18,150508,16,16-17,PS,True,False,False
18,150508,17,17-18,PS,True,False,False
18,150508,18,18-19,PS,True,False,False
18,150508,19,19-20,PS,True,False,False
19,150509,1,1-2,PS,True,False,False
19,150509,2,2-3,PS,True,False,False
19,150509,3,3-4,PS,True,False,False
19,150509,4,4-5,PS,True,False,False
19,150509,5,5-6,PS,True,False,False
19,150509,6,6-7,PS,True,False,False
19,150509,7,7-8,PS,True,False,False
19,150509,8,8-9,PS,True,False,False
19,150509,9,9-10,PS,True,False,False
19,150509,10,10-11,PS,True,False,False
19,150509,11,11-12,PS,True,False,False
19,150509,12,12-13,PS,True,False,False
19,150509,13,13-14,PS,True,False,False
19,150509,14,14-15,PS,True,False,False
19,150509,15,15-16,PS,True,False,False
19,150509,16,16-17,PS,True,False,False
19,150509,17,17-18,PS,True,False,False
19,150509,18,18-19,PS,True,False,False
19,150509,19,19-20,PS,True,False,False
20,150510,1,1-2,PS,True,False,False
20,150510,2,2-3,PS,True,False,False
20,150510,3,3-4,PS,True,False,False
20,150510,4,4-5,PS,True,False,False
20,150510,5,5-6,PS,True,False,False
20,150510,6,6-7,PS,True,False,False
20,150510,7,7-8,PS,True,False,False
20,150510,8,8-9,PS,True,False,False
20,150510,9,9-10,PS,True,False,False
20,150510,10,10-11,PS,True,False,False
20,150510,11,11-12,PS,True,False,False
20,150510,12,12-13,PS,True,False,False
20,150510,13,13-14,PS,True,False,False
20,150510,14,14-15,PS,True,False,False
20,150510,15,15-16,PS,True,False,False
20,150510,16,16-17,PS,True,False,False
20,150510,17,17-18,PS,True,False,False
20,150510,18,18-19,PS,True,False,False
20,150510,19,19-20,PS,True,False,False
21,195753,1,1-2,PS,True,False,False
21,195753,2,2-3,PS,True,False,False
21,195753,3,3-4,PS,True,False,False
21,195753,4,4-5,PS,True,False,False
21,195753,5,5-6,PS,True,False,False
21,195753,6,6-7,PS,True,False,False
21,195753,7,7-8,PS,True,False,False
21,195753,8,8-9,PS,True,False,False
21,195753,9,9-10,PS,True,False,False
21,195753,10,10-11,PS,True,False,False
21,195753,11,11-12,PS,True,False,False
21,195753,12,12-13,PS,True,False,False
21,195753,13,13-14,PS,True,False,False
21,195753,14,14-15,PS,True,False,False
21,195753,15,15-16,PS,True,False,False
21,195753,16,16-17,PS,True,False,False
21,195753,17,17-18,PS,True,False,False
21,195753,18,18-19,PS,True,False,False
21,195753,19,19-20,PS,True,False,False
22,333607,1,1-2,PS,True,False,False
22,333607,2,2-3,PS,True,False,False
22,333607,3,3-4,PS,True,False,False
22,333607,4,4-5,PS,True,False,False
22,333607,5,5-6,PS,True,False,False
22,333607,6,6-7,PS,True,False,False
22,333607,7,7-8,PS,True,False,False
22,333607,8,8-9,PS,True,False,False
22,333607,9,9-10,PS,True,False,False
22,333607,10,10-11,PS,True,False,False
22,333607,11,11-12,PS,True,False,False
22,333607,12,12-13,PS,True,False,False
22,333607,13,13-14,PS,True,False,False
22,333607,14,14-15,PS,True,False,False
22,333607,15,15-16,PS,True,False,False
22,333607,16,16-17,PS,True,False,False
22,333607,17,17-18,PS,True,False,False
22,333607,18,18-19,PS,True,False,False
22,333607,19,19-20,PS,True,False,False
23,333608,1,1-2,PS,True,False,False
23,333608,2,2-3,PS,True,False,False
23,333608,3,3-4,PS,True,False,False
23,333608,4,4-5,PS,True,False,False
23,333608,5,5-6,PS,True,False,False
23,333608,6,6-7,PS,True,False,False
23,333608,7,7-8,PS,True,False,False
23,333608,8,8-9,PS,True,False,False
23,333608,9,9-10,PS,True,False,False
23,333608,10,10-11,PS,True,False,False
23,333608,11,11-12,PS,True,False,False
23,333608,12,12-13,PS,True,False,False
23,333608,13,13-14,PS,True,False,False
23,333608,14,14-15,PS,True,False,False
23,333608,15,15-16,PS,True,False,False
23,333608,16,16-17,PS,True,False,False
23,333608,17,17-18,PS,True,False,False
23,333608,18,18-19,PS,True,False,False
23,333608,19,19-20,PS,True,False,False
24,333611,1,1-2,PS,True,False,False
24,333611,2,2-3,PS,True,False,False
24,333611,3,3-4,PS,True,False,False
24,333611,4,4-5,PS,True,False,False
24,333611,5,5-6,PS,True,False,False
24,333611,6,6-7,PS,True,False,False
24,333611,7,7-8,PS,True,False,False
24,333611,8,8-9,PS,True,False,False
24,333611,9,9-10,PS,True,False,False
24,333611,10,10-11,PS,True,False,False
24,333611,11,11-12,PS,True,False,False
24,333611,12,12-13,PS,True,False,False
24,333611,13,13-14,PS,True,False,False
24,333611,14,14-15,PS,True,False,False
24,333611,15,15-16,PS,True,False,False
24,333611,16,16-17,PS,True,False,False
24,333611,17,17-18,PS,True,False,False
24,333611,18,18-19,PS,True,False,False
24,333611,19,19-20,PS,True,False,False
25,333618,1,1-2,PS,True,False,False
25,333618,2,2-3,PS,True,False,False
25,333618,3,3-4,PS,True,False,False
25,333618,4,4-5,PS,True,False,False
25,333618,5,5-6,PS,True,False,False
25,333618,6,6-7,PS,True,False,False
25,333618,7,7-8,PS,True,False,False
25,333618,8,8-9,PS,True,False,False
25,333618,9,9-10,PS,True,False,False
25,333618,10,10-11,PS,True,False,False
25,333618,11,11-12,PS,True,False,False
25,333618,12,12-13,PS,True,False,False
25,333618,13,13-14,PS,True,False,False
25,333618,14,14-15,PS,True,False,False
25,333618,15,15-16,PS,True,False,False
25,333618,16,16-17,PS,True,False,False
25,333618,17,17-18,PS,True,False,False
25,333618,18,18-19,PS,True,False,False
25,333618,19,19-20,PS,True,False,False
26,333625,1,1-2,PS,True,False,False
26,333625,2,2-3,PS,True,False,False
26,333625,3,3-4,PS,True,False,False
26,333625,4,4-5,PS,True,False,False
26,333625,5,5-6,PS,True,False,False
26,333625,6,6-7,PS,True,False,False
26,333625,7,7-8,PS,True,False,False
26,333625,8,8-9,PS,True,False,False
26,333625,9,9-10,PS,True,False,False
26,333625,10,10-11,PS,True,False,False
26,333625,11,11-12,PS,True,False,False
26,333625,12,12-13,PS,True,False,False
26,333625,13,13-14,PS,True,False,False
26,333625,14,14-15,PS,True,False,False
26,333625,15,15-16,PS,True,False,False
26,333625,16,16-17,PS,True,False,False
26,333625,17,17-18,PS,True,False,False
26,333625,18,18-19,PS,True,False,False
26,333625,19,19-20,PS,True,False,False
27,345716,1,1-2,PS,True,False,False
27,345716,2,2-3,PS,True,False,False
27,345716,3,3-4,PS,True,False,False
27,345716,4,4-5,PS,True,False,False
27,345716,5,5-6,PS,True,False,False
27,345716,6,6-7,PS,True,False,False
27,345716,7,7-8,PS,True,False,False
27,345716,8,8-9,PS,True,False,False
27,345716,9,9-10,PS,True,False,False
27,345716,10,10-11,PS,True,False,False
27,345716,11,11-12,PS,True,False,False
27,345716,12,12-13,PS,True,False,False
27,345716,13,13-14,PS,True,False,False
27,345716,14,14-15,PS,True,False,False
27,345716,15,15-16,PS,True,False,False
27,345716,16,16-17,PS,True,False,False
27,345716,17,17-18,PS,True,False,False
27,345716,18,18-19,PS,True,False,False
27,345716,19,19-20,PS,True,False,False
28,345718,1,1-2,PS,True,False,False
28,345718,2,2-3,PS,True,False,False
28,345718,3,3-4,PS,True,False,False
28,345718,4,4-5,PS,True,False,False
28,345718,5,5-6,PS,True,False,False
28,345718,6,6-7,PS,True,False,False
28,345718,7,7-8,PS,True,False,False
28,345718,8,8-9,PS,True,False,False
28,345718,9,9-10,PS,True,False,False
28,345718,10,10-11,PS,True,False,False
28,345718,11,11-12,PS,True,False,False
28,345718,12,12-13,PS,True,False,False
28,345718,13,13-14,PS,True,False,False
28,345718,14,14-15,PS,True,False,False
28,345718,15,15-16,PS,True,False,False
28,345718,16,16-17,PS,True,False,False
28,345718,17,17-18,PS,True,False,False
28,345718,18,18-19,PS,True,False,False
28,345718,19,19-20,PS,True,False,False
29,345720,1,1-2,PS,True,False,False
29,345720,2,2-3,PS,True,False,False
29,345720,3,3-4,PS,True,False,False
29,345720,4,4-5,PS,True,False,False
29,345720,5,5-6,PS,True,False,False
29,345720,6,6-7,PS,True,False,False
29,345720,7,7-8,PS,True,False,False
29,345720,8,8-9,PS,True,False,False
29,345720,9,9-10,PS,True,False,False
29,345720,10,10-11,PS,True,False,False
29,345720,11,11-12,PS,True,False,False
29,345720,12,12-13,PS,True,False,False
29,345720,13,13-14,PS,True,False,False
29,345720,14,14-15,PS,True,False,False
29,345720,15,15-16,PS,True,False,False
29,345720,16,16-17,PS,True,False,False
29,345720,17,17-18,PS,True,False,False
29,345720,18,18-19,PS,True,False,False
29,345720,19,19-20,PS,True,False,False
30,345722,1,1-2,PS,True,False,False
30,345722,2,2-3,PS,True,False,False
30,345722,3,3-4,PS,True,False,False
30,345722,4,4-5,PS,True,False,False
30,345722,5,5-6,PS,True,False,False
30,345722,6,6-7,PS,True,False,False
30,345722,7,7-8,PS,True,False,False
30,345722,8,8-9,PS,True,False,False
30,345722,9,9-10,PS,True,False,False
30,345722,10,10-11,PS,True,False,False
30,345722,11,11-12,PS,True,False,False
30,345722,12,12-13,PS,True,False,False
30,345722,13,13-14,PS,True,False,False
30,345722,14,14-15,PS,True,False,False
30,345722,15,15-16,PS,True,False,False
30,345722,16,16-17,PS,True,False,False
30,345722,17,17-18,PS,True,False,False
30,345722,18,18-19,PS,True,False,False
30,345722,19,19-20,PS,True,False,False
31,436868,1,1-2,PS,True,False,False
31,436868,2,2-3,PS,True,False,False
31,436868,3,3-4,PS,True,False,False
31,436868,4,4-5,PS,True,False,False
31,436868,5,5-6,PS,True,False,False
31,436868,6,6-7,PS,True,False,False
31,436868,7,7-8,PS,True,False,False
31,436868,8,8-9,PS,True,False,False
31,436868,9,9-10,PS,True,False,False
31,436868,10,10-11,PS,True,False,False
31,436868,11,11-12,PS,True,False,False
31,436868,12,12-13,PS,True,False,False
31,436868,13,13-14,PS,True,False,False
31,436868,14,14-15,PS,True,False,False
31,436868,15,15-16,PS,True,False,False
31,436868,16,16-17,PS,True,False,False
31,436868,17,17-18,PS,True,False,False
31,436868,18,18-19,PS,True,False,False
31,436868,19,19-20,PS,True,False,False
32,436935,1,1-2,PS,True,False,False
32,436935,2,2-3,PS,True,False,False
32,436935,3,3-4,PS,True,False,False
32,436935,4,4-5,PS,True,False,False
32,436935,5,5-6,PS,True,False,False
32,436935,6,6-7,PS,True,False,False
32,436935,7,7-8,PS,True,False,False
32,436935,8,8-9,PS,True,False,False
32,436935,9,9-10,PS,True,False,False
32,436935,10,10-11,PS,True,False,False
32,436935,11,11-12,PS,True,False,False
32,436935,12,12-13,PS,True,False,False
32,436935,13,13-14,PS,True,False,False
32,436935,14,14-15,PS,True,False,False
32,436935,15,15-16,PS,True,False,False
32,436935,16,16-17,PS,True,False,False
32,436935,17,17-18,PS,True,False,False
32,436935,18,18-19,PS,True,False,False
32,436935,19,19-20,PS,True,False,False
33,489523,1,1-2,PS,True,False,False
33,489523,2,2-3,PS,True,False,False
33,489523,3,3-4,PS,True,False,False
33,489523,4,4-5,PS,True,False,False
33,489523,5,5-6,PS,True,False,False
33,489523,6,6-7,PS,True,False,False
33,489523,7,7-8,PS,True,False,False
33,489523,8,8-9,PS,True,False,False
33,489523,9,9-10,PS,True,False,False
33,489523,10,10-11,PS,True,False,False
33,489523,11,11-12,PS,True,False,False
33,489523,12,12-13,PS,True,False,False
33,489523,13,13-14,PS,True,False,False
33,489523,14,14-15,PS,True,False,False
33,489523,15,15-16,PS,True,False,False
33,489523,16,16-17,PS,True,False,False
33,489523,17,17-18,PS,True,False,False
33,489523,18,18-19,PS,True,False,False
33,489523,19,19-20,PS,True,False,False
34,489524,1,1-2,PS,True,False,False
34,489524,2,2-3,PS,True,False,False
34,489524,3,3-4,PS,True,False,False
34,489524,4,4-5,PS,True,False,False
34,489524,5,5-6,PS,True,False,False
34,489524,6,6-7,PS,True,False,False
34,489524,7,7-8,PS,True,False,False
34,489524,8,8-9,PS,True,False,False
34,489524,9,9-10,PS,True,False,False
34,489524,10,10-11,PS,True,False,False
34,489524,11,11-12,PS,True,False,False
34,489524,12,12-13,PS,True,False,False
34,489524,13,13-14,PS,True,False,False
34,489524,14,14-15,PS,True,False,False
34,489524,15,15-16,PS,True,False,False
34,489524,16,16-17,PS,True,False,False
34,489524,17,17-18,PS,True,False,False
34,489524,18,18-19,PS,True,False,False
34,489524,19,19-20,PS,True,False,False
35,489530,1,1-2,PS,True,False,False
35,489530,2,2-3,PS,True,False,False
35,489530,3,3-4,PS,True,False,False
35,489530,4,4-5,PS,True,False,False
35,489530,5,5-6,PS,True,False,False
35,489530,6,6-7,PS,True,False,False
35,489530,7,7-8,PS,True,False,False
35,489530,8,8-9,PS,True,False,False
35,489530,9,9-10,PS,True,False,False
35,489530,10,10-11,PS,True,False,False
35,489530,11,11-12,PS,True,False,False
35,489530,12,12-13,PS,True,False,False
35,489530,13,13-14,PS,True,False,False
35,489530,14,14-15,PS,True,False,False
35,489530,15,15-16,PS,True,False,False
35,489530,16,16-17,PS,True,False,False
35,489530,17,17-18,PS,True,False,False
35,489530,18,18-19,PS,True,False,False
35,489530,19,19-20,PS,True,False,False
36,489531,1,1-2,PS,True,False,False
36,489531,2,2-3,PS,True,False,False
36,489531,3,3-4,PS,True,False,False
36,489531,4,4-5,PS,True,False,False
36,489531,5,5-6,PS,True,False,False
36,489531,6,6-7,PS,True,False,False
36,489531,7,7-8,PS,True,False,False
36,489531,8,8-9,PS,True,False,False
36,489531,9,9-10,PS,True,False,False
36,489531,10,10-11,PS,True,False,False
36,489531,11,11-12,PS,True,False,False
